Application/Permit Number,Category,Permit Type,Action Type
6389419,COMMERCIAL,Construction,ADD/ALT
6389301,COMMERCIAL,Construction,ADD/ALT
6369084,INDUSTRIAL,Construction,ADD/ALT
6310152,MULTIFAMILY,Construction,NEW
6388748,COMMERCIAL,Construction,ADD/ALT
6338506,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389828,COMMERCIAL,Construction,ADD/ALT
6557821,MULTIFAMILY,Demolition,DEMOLITION
6387368,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387411,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393233,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6505490,INDUSTRIAL,Construction,ADD/ALT
6392945,COMMERCIAL,Construction,ADD/ALT
6389194,COMMERCIAL,Construction,ADD/ALT
6376708,INSTITUTIONAL,Construction,NEW
6381669,COMMERCIAL,Construction,ADD/ALT
6390499,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6388261,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391863,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393141,COMMERCIAL,Construction,ADD/ALT
6393115,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393113,COMMERCIAL,Construction,ADD/ALT
6393128,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393119,COMMERCIAL,Construction,ADD/ALT
6392975,COMMERCIAL,Construction,ALTER
6393117,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393102,INDUSTRIAL,Construction,ADD/ALT
6393090,COMMERCIAL,Construction,ADD/ALT
6353191,COMMERCIAL,Construction,ADD/ALT
6392992,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6381099,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6374052,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6393024,COMMERCIAL,Construction,ADD/ALT
6392979,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6382268,MULTIFAMILY,Construction,NEW
6392920,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6379157,SINGLE FAMILY / DUPLEX,Construction,NEW
6392962,COMMERCIAL,Construction,ADD/ALT
6392967,COMMERCIAL,Construction,ALTER
6387363,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391750,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390430,COMMERCIAL,Construction,ADD/ALT
6392948,COMMERCIAL,Construction,ALTER
6392484,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389614,COMMERCIAL,Construction,ADD/ALT
6392564,MULTIFAMILY,Construction,ADD/ALT
6376858,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6348833,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392858,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392856,INSTITUTIONAL,Construction,ADD/ALT
6391870,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389583,COMMERCIAL,Construction,ADD/ALT
6391339,INSTITUTIONAL,Construction,ADD/ALT
6355620,COMMERCIAL,Construction,ADD/ALT
6386083,SINGLE FAMILY / DUPLEX,Construction,NEW
6384776,SINGLE FAMILY / DUPLEX,Construction,NEW
6602251,INDUSTRIAL,Demolition,DEMOLITION
6388064,COMMERCIAL,Construction,ADD/ALT
6388131,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6379491,COMMERCIAL,Construction,ADD/ALT
6392689,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390586,COMMERCIAL,Construction,TEMP
6392531,SINGLE FAMILY / DUPLEX,Construction,NEW
6392692,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392645,COMMERCIAL,Construction,ADD/ALT
6392661,COMMERCIAL,Construction,ADD/ALT
6392657,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392090,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392608,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6622180,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387418,COMMERCIAL,Construction,ADD/ALT
6389622,COMMERCIAL,Construction,ADD/ALT
6595878,SINGLE FAMILY / DUPLEX,Construction,NEW
6391190,SINGLE FAMILY / DUPLEX,Construction,NEW
6391180,SINGLE FAMILY / DUPLEX,Construction,NEW
6390996,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6615185,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6325125,MULTIFAMILY,Construction,ADD/ALT
6391111,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6392509,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392508,COMMERCIAL,Construction,ALTER
6384415,COMMERCIAL,Construction,NEW
6392482,COMMERCIAL,Construction,ALTER
6392477,COMMERCIAL,Construction,ALTER
6392469,COMMERCIAL,Construction,ALTER
6392467,COMMERCIAL,Construction,ALTER
6392463,COMMERCIAL,Construction,ALTER
6392461,COMMERCIAL,Construction,ALTER
6392451,MULTIFAMILY,Construction,ADD/ALT
6392446,MULTIFAMILY,Construction,ADD/ALT
6390852,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391243,COMMERCIAL,Construction,ADD/ALT
6390521,MULTIFAMILY,Construction,ADD/ALT
6390546,MULTIFAMILY,Construction,ADD/ALT
6390536,MULTIFAMILY,Construction,ADD/ALT
6390545,MULTIFAMILY,Construction,ADD/ALT
6390543,MULTIFAMILY,Construction,ADD/ALT
6390527,MULTIFAMILY,Construction,ADD/ALT
6390537,MULTIFAMILY,Construction,ADD/ALT
6390522,MULTIFAMILY,Construction,ADD/ALT
6390529,MULTIFAMILY,Construction,ADD/ALT
6390516,MULTIFAMILY,Construction,ADD/ALT
6390530,MULTIFAMILY,Construction,ADD/ALT
6390539,MULTIFAMILY,Construction,ADD/ALT
6390541,MULTIFAMILY,Construction,ADD/ALT
6390526,MULTIFAMILY,Construction,ADD/ALT
6390534,MULTIFAMILY,Construction,ADD/ALT
6390528,MULTIFAMILY,Construction,ADD/ALT
6390535,MULTIFAMILY,Construction,ADD/ALT
6390533,MULTIFAMILY,Construction,ADD/ALT
6390544,MULTIFAMILY,Construction,ADD/ALT
6392425,COMMERCIAL,Construction,ADD/ALT
6390524,MULTIFAMILY,Construction,ADD/ALT
6392037,COMMERCIAL,Construction,ADD/ALT
6390514,MULTIFAMILY,Construction,ADD/ALT
6392424,COMMERCIAL,Construction,ADD/ALT
6390542,MULTIFAMILY,Construction,ADD/ALT
6390538,MULTIFAMILY,Construction,ADD/ALT
6390525,MULTIFAMILY,Construction,ADD/ALT
6390513,MULTIFAMILY,Construction,ADD/ALT
6390523,MULTIFAMILY,Construction,ADD/ALT
6390518,MULTIFAMILY,Construction,ADD/ALT
6390520,MULTIFAMILY,Construction,ADD/ALT
6390540,MULTIFAMILY,Construction,ADD/ALT
6390517,MULTIFAMILY,Construction,ADD/ALT
6390515,MULTIFAMILY,Construction,ADD/ALT
6390531,MULTIFAMILY,Construction,ADD/ALT
6390532,MULTIFAMILY,Construction,ADD/ALT
6390519,MULTIFAMILY,Construction,ADD/ALT
6392038,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392419,COMMERCIAL,Construction,ADD/ALT
6391889,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392405,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391983,MULTIFAMILY,Demolition,DEMOLITION
6391966,MULTIFAMILY,Construction,NEW
6391964,MULTIFAMILY,Construction,NEW
6391965,MULTIFAMILY,Construction,NEW
6391982,MULTIFAMILY,Demolition,DEMOLITION
6392349,COMMERCIAL,Construction,NO CONSTRUCTION
6391967,MULTIFAMILY,Construction,NEW
6392259,MULTIFAMILY,Demolition,DEMOLITION
6478876,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6337103,MULTIFAMILY,Construction,NEW
6392291,MULTIFAMILY,Construction,NEW
6392290,MULTIFAMILY,Construction,NEW
6495643,SINGLE FAMILY / DUPLEX,Construction,NEW
6381568,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389403,SINGLE FAMILY / DUPLEX,Construction,NEW
6389341,COMMERCIAL,Construction,ADD/ALT
6385643,COMMERCIAL,Construction,ADD/ALT
6365115,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387512,COMMERCIAL,Construction,ADD/ALT
6392328,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6370137,SINGLE FAMILY / DUPLEX,Construction,NEW
6381821,MULTIFAMILY,Demolition,DEMOLITION
6392156,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6381820,MULTIFAMILY,Demolition,DEMOLITION
6386776,INDUSTRIAL,Construction,ADD/ALT
6391176,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6382241,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6345665,MULTIFAMILY,Construction,NEW
6376247,INSTITUTIONAL,Construction,ADD/ALT
6369619,COMMERCIAL,Demolition,DEMOLITION
6387069,SINGLE FAMILY / DUPLEX,Construction,NEW
6381816,SINGLE FAMILY / DUPLEX,Construction,NEW
6382783,SINGLE FAMILY / DUPLEX,Construction,NEW
6384444,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6612239,COMMERCIAL,Construction,ADD/ALT
6387346,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392279,COMMERCIAL,Construction,ALTER
6392273,COMMERCIAL,Construction,ALTER
6392252,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392233,MULTIFAMILY,Construction,ADD/ALT
6387137,COMMERCIAL,Construction,ADD/ALT
6392196,MULTIFAMILY,Demolition,DEMOLITION
6392210,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387493,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6565366,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6524914,COMMERCIAL,Construction,NEW
6392197,COMMERCIAL,Construction,ADD/ALT
6392183,COMMERCIAL,Construction,ADD/ALT
6385511,SINGLE FAMILY / DUPLEX,Construction,NEW
6372090,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392102,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6392098,SINGLE FAMILY / DUPLEX,Construction,NEW
6366832,SINGLE FAMILY / DUPLEX,Construction,NEW
6391202,COMMERCIAL,Construction,ADD/ALT
6381371,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6375089,MULTIFAMILY,Construction,NEW
6596431,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6386869,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6249561,MULTIFAMILY,Site Development,TREE/VEGETATION MAINT/RESTORE
6392128,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6365443,MULTIFAMILY,Demolition,DEMOLITION
6386865,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6357148,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6392109,SINGLE FAMILY / DUPLEX,Construction,NEW
6392111,COMMERCIAL,Construction,ALTER
6392108,COMMERCIAL,Construction,ALTER
6388232,INDUSTRIAL,Construction,ADD/ALT
6345681,MULTIFAMILY,Construction,NEW
6384589,SINGLE FAMILY / DUPLEX,Construction,NEW
6385715,SINGLE FAMILY / DUPLEX,Construction,NEW
6382262,COMMERCIAL,Construction,ADD/ALT
6387532,COMMERCIAL,Construction,ADD/ALT
6383650,COMMERCIAL,Construction,ADD/ALT
6382724,SINGLE FAMILY / DUPLEX,Construction,NEW
6391402,SINGLE FAMILY / DUPLEX,Construction,NEW
6392089,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6375108,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392073,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6388546,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392074,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392065,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6392049,COMMERCIAL,Construction,ADD/ALT
6621295,COMMERCIAL,Construction,ADD/ALT
6391911,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6482888,SINGLE FAMILY / DUPLEX,Construction,NEW
6392033,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6392008,MULTIFAMILY,Site Development,TREE/VEGETATION MAINT/RESTORE
6386223,INSTITUTIONAL,Construction,ADD/ALT
6386224,COMMERCIAL,Construction,ADD/ALT
6391993,INDUSTRIAL,Demolition,DEMOLITION
6391952,INDUSTRIAL,Construction,ADD/ALT
6391720,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6373764,SINGLE FAMILY / DUPLEX,Construction,NEW
6367738,INSTITUTIONAL,Construction,ADD/ALT
6391922,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6607388,COMMERCIAL,Construction,NO CONSTRUCTION
6391902,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6388860,COMMERCIAL,Construction,ADD/ALT
6389829,COMMERCIAL,Construction,TEMP
6379887,INSTITUTIONAL,Demolition,DEMOLITION
6385668,MULTIFAMILY,Construction,NEW
6384625,COMMERCIAL,Construction,ADD/ALT
6384308,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6367156,COMMERCIAL,Construction,ADD/ALT
6391840,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6390380,COMMERCIAL,Construction,ADD/ALT
6380352,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6561533,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6130021,SINGLE FAMILY / DUPLEX,Construction,NEW
6385956,SINGLE FAMILY / DUPLEX,Construction,NEW
6391812,COMMERCIAL,Construction,ALTER
6532123,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6385368,COMMERCIAL,Construction,ADD/ALT
6390838,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6387895,SINGLE FAMILY / DUPLEX,Construction,NEW
6385659,COMMERCIAL,Construction,ADD/ALT
6387720,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6362071,MULTIFAMILY,Construction,NEW
6391053,SINGLE FAMILY / DUPLEX,Construction,NEW
6390705,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390585,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6385326,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387894,SINGLE FAMILY / DUPLEX,Construction,NEW
6354826,COMMERCIAL,Construction,ADD/ALT
6388352,COMMERCIAL,Construction,ADD/ALT
6386353,MULTIFAMILY,Construction,ADD/ALT
6339555,MULTIFAMILY,Construction,NEW
6386111,INSTITUTIONAL,Construction,ADD/ALT
6391794,COMMERCIAL,Construction,ALTER
6390425,SINGLE FAMILY / DUPLEX,Construction,NEW
6381908,SINGLE FAMILY / DUPLEX,Construction,NEW
6390426,SINGLE FAMILY / DUPLEX,Construction,NEW
6383637,SINGLE FAMILY / DUPLEX,Construction,NEW
6391160,SINGLE FAMILY / DUPLEX,Construction,NEW
6387611,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391769,MULTIFAMILY,Construction,ADD/ALT
6391771,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6386928,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6384277,COMMERCIAL,Construction,ADD/ALT
6373481,MULTIFAMILY,Construction,NEW
6391721,MULTIFAMILY,Construction,ADD/ALT
6368993,SINGLE FAMILY / DUPLEX,Construction,NEW
6391425,MULTIFAMILY,Demolition,DEMOLITION
6391423,MULTIFAMILY,Construction,NEW
6391424,MULTIFAMILY,Construction,NEW
6387030,COMMERCIAL,Construction,ADD/ALT
6377630,MULTIFAMILY,Demolition,DEMOLITION
6390115,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390906,SINGLE FAMILY / DUPLEX,Construction,NEW
6386399,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6391155,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389775,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6354508,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391551,COMMERCIAL,Construction,ALTER
6391540,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390416,COMMERCIAL,Construction,TEMP
6386753,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391491,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6383895,SINGLE FAMILY / DUPLEX,Construction,NEW
6386967,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391482,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391452,COMMERCIAL,Construction,ADD/ALT
6391451,COMMERCIAL,Construction,ADD/ALT
6390133,COMMERCIAL,Construction,ADD/ALT
6391433,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391427,MULTIFAMILY,Construction,ADD/ALT
6387424,COMMERCIAL,Construction,ADD/ALT
6391394,COMMERCIAL,Construction,ADD/ALT
6377530,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391376,SINGLE FAMILY / DUPLEX,Site Development,CURB CUT
6391365,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391331,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6379553,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6383119,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391307,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6274289,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6378642,SINGLE FAMILY / DUPLEX,Construction,NEW
6391299,COMMERCIAL,Construction,ALTER
6387330,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6212160,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391282,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391278,COMMERCIAL,Construction,ADD/ALT
6391275,COMMERCIAL,Construction,ADD/ALT
6391219,MULTIFAMILY,Demolition,DEMOLITION
6391204,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387312,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6373776,SINGLE FAMILY / DUPLEX,Construction,NEW
6383559,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6383639,SINGLE FAMILY / DUPLEX,Construction,NEW
6391030,MULTIFAMILY,Demolition,DECONSTRUCTION
6375161,MULTIFAMILY,Construction,NEW
6377998,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6373336,MULTIFAMILY,Construction,ADD/ALT
6390927,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6391103,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6347363,COMMERCIAL,Demolition,DEMOLITION
6391092,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391082,SINGLE FAMILY / DUPLEX,Construction,NEW
6314085,,Construction,
6391066,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391060,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6391022,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6382350,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390802,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390501,MULTIFAMILY,Construction,ADD/ALT
6378333,MULTIFAMILY,Demolition,DEMOLITION
6372525,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6376662,COMMERCIAL,Construction,ADD/ALT
6374247,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387328,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6365992,SINGLE FAMILY / DUPLEX,Construction,NEW
6386847,COMMERCIAL,Construction,ADD/ALT
6386986,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6384217,SINGLE FAMILY / DUPLEX,Construction,NEW
6384006,MULTIFAMILY,Construction,NEW
6368081,SINGLE FAMILY / DUPLEX,Construction,NEW
6383149,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389378,SINGLE FAMILY / DUPLEX,Construction,NEW
6327036,COMMERCIAL,Construction,ADD/ALT
6383239,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390942,COMMERCIAL,Construction,ADD/ALT
6390945,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390923,MULTIFAMILY,Construction,ADD/ALT
6390929,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390917,COMMERCIAL,Construction,ADD/ALT
6381070,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6390910,MULTIFAMILY,Construction,ADD/ALT
6390866,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6390867,COMMERCIAL,Construction,ALTER
6381183,SINGLE FAMILY / DUPLEX,Construction,NEW
6389366,INDUSTRIAL,Construction,TEMP
6374318,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6382711,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6590596,COMMERCIAL,Construction,ADD/ALT
6390847,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6381501,MULTIFAMILY,Construction,ADD/ALT
6390821,COMMERCIAL,Construction,ALTER
6310939,,Construction,
6381988,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6362537,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6337838,COMMERCIAL,Construction,NEW
6390598,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390750,COMMERCIAL,Construction,ADD/ALT
6390748,COMMERCIAL,Construction,ADD/ALT
6390321,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6388764,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6387782,SINGLE FAMILY / DUPLEX,Construction,NEW
6383181,MULTIFAMILY,Construction,NEW
6390341,SINGLE FAMILY / DUPLEX,Construction,NEW
6390339,SINGLE FAMILY / DUPLEX,Construction,NEW
6381334,SINGLE FAMILY / DUPLEX,Construction,NEW
6390340,SINGLE FAMILY / DUPLEX,Construction,NEW
6390186,SINGLE FAMILY / DUPLEX,Construction,NEW
6372773,COMMERCIAL,Construction,ADD/ALT
6388240,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6368892,INSTITUTIONAL,Construction,ADD/ALT
6390044,INSTITUTIONAL,Construction,NEW
6388851,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390045,INSTITUTIONAL,Construction,NEW
6390046,INSTITUTIONAL,Construction,NEW
6386158,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390575,COMMERCIAL,Demolition,DEMOLITION
6382977,SINGLE FAMILY / DUPLEX,Construction,NEW
6390511,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6390510,SINGLE FAMILY / DUPLEX,Construction,NEW
6390132,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390505,COMMERCIAL,Construction,ADD/ALT
6380969,COMMERCIAL,Construction,NEW
6369401,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389142,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6567253,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6578840,MULTIFAMILY,Construction,ADD/ALT
6581013,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6588768,COMMERCIAL,Construction,ADD/ALT
6307585,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6592973,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6442162,COMMERCIAL,Construction,ADD/ALT
6472112,COMMERCIAL,Construction,ADD/ALT
6576549,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6558317,MULTIFAMILY,Construction,NEW
6390131,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6381184,SINGLE FAMILY / DUPLEX,Construction,NEW
6390279,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6390268,SINGLE FAMILY / DUPLEX,Construction,NEW
6388518,COMMERCIAL,Construction,ADD/ALT
6383937,SINGLE FAMILY / DUPLEX,Construction,NEW
6381687,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6574070,MULTIFAMILY,Demolition,DEMOLITION
6388113,COMMERCIAL,Construction,ADD/ALT
6386548,MULTIFAMILY,Construction,ADD/ALT
6622364,SINGLE FAMILY / DUPLEX,Demolition,DEMOLITION
6384218,SINGLE FAMILY / DUPLEX,Construction,NEW
6387321,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6386037,SINGLE FAMILY / DUPLEX,Site Development,GRADING
6382585,INSTITUTIONAL,Construction,ADD/ALT
6385934,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6384681,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6221263,COMMERCIAL,Construction,ADD/ALT
6390400,COMMERCIAL,Construction,ALTER
6390394,INDUSTRIAL,Construction,ADD/ALT
6472169,MULTIFAMILY,Construction,ADD/ALT
6385717,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6386514,COMMERCIAL,Construction,ADD/ALT
6390363,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6389300,COMMERCIAL,Demolition,DEMOLITION
6388857,COMMERCIAL,Demolition,DEMOLITION
6390333,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6390327,MULTIFAMILY,Site Development,TREE/VEGETATION MAINT/RESTORE
6381895,MULTIFAMILY,Construction,ADD/ALT
6387336,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6382256,COMMERCIAL,Construction,ADD/ALT
6390295,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390282,COMMERCIAL,Construction,ADD/ALT
6390278,MULTIFAMILY,Construction,ADD/ALT
6377839,SINGLE FAMILY / DUPLEX,Construction,NEW
6390229,INSTITUTIONAL,Construction,ADD/ALT
6387300,COMMERCIAL,Construction,ADD/ALT
6390223,INSTITUTIONAL,Construction,ADD/ALT
6380630,COMMERCIAL,Construction,ADD/ALT
6389937,COMMERCIAL,Construction,ADD/ALT
6345677,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390145,COMMERCIAL,Construction,ADD/ALT
6390209,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6376766,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390208,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387353,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6370377,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6388301,MULTIFAMILY,Construction,ADD/ALT
6390183,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6388641,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390174,COMMERCIAL,Construction,ADD/ALT
6388963,COMMERCIAL,Construction,ADD/ALT
6338349,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6384089,COMMERCIAL,Construction,ADD/ALT
6387162,COMMERCIAL,Construction,
6390151,COMMERCIAL,Construction,ADD/ALT
6390139,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6390136,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387719,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387208,SINGLE FAMILY / DUPLEX,Construction,ADD/ALT
6387570,COMMERCIAL,Construction,ALTER
6390053,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6388762,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
6388763,SINGLE FAMILY / DUPLEX,Site Development,TREE/VEGETATION MAINT/RESTORE
